carat,cut,color,clarity,depth,table,x,y,z,price_predicted
0.91,Very Good,H,SI2,63.4,57.0,6.1,6.18,3.89,4134.181322223164
0.38,Good,F,VS2,60.3,61.0,4.68,4.71,2.83,846.0408569155661
0.52,Ideal,H,VS2,61.8,56.0,5.19,5.16,3.2,1370.587200496962
1.1,Ideal,G,VS1,61.3,56.0,6.65,6.69,4.09,6777.930705594092
2.28,Ideal,G,SI2,61.6,57.0,8.44,8.37,5.18,17780.360782508527
2.01,Very Good,J,VS2,60.8,58.0,8.08,8.16,4.94,11960.782315915018
1.06,Ideal,G,SI2,62.2,57.0,6.51,6.49,4.04,6177.477771064872
0.7,Premium,E,SI1,60.1,58.0,5.81,5.83,3.5,2803.9621658725773
0.73,Premium,I,VS2,59.7,59.0,5.94,5.81,3.51,1697.2321365169282
0.73,Ideal,H,IF,61.6,55.0,5.8,5.82,3.58,2749.0314566033526
1.0,Good,D,VS2,64.1,58.0,6.24,6.33,4.03,6110.600057089074
0.33,Ideal,G,VVS2,60.1,57.0,4.48,4.51,2.7,569.210701672614
0.54,Ideal,J,VVS2,61.6,57.0,5.25,5.23,3.23,983.3071595553079
0.33,Ideal,D,VS2,61.9,53.0,4.49,4.46,2.77,466.76914267101665
0.51,Fair,D,VS2,64.4,54.0,5.06,5.03,3.25,1581.8360765435564
0.51,Ideal,E,SI1,62.4,55.0,5.09,5.14,3.19,1726.4956500357284
0.3,Good,I,SI1,63.2,55.0,4.25,4.29,2.7,430.0562669588935
2.66,Good,H,SI2,64.3,60.0,8.71,8.65,5.58,19479.341683397695
0.92,Premium,F,SI1,61.8,59.0,6.21,6.25,3.85,4981.603286091286
0.3,Ideal,G,IF,62.2,55.0,4.3,4.32,2.68,331.64254951747967
1.0,Very Good,H,SI1,62.0,54.0,6.43,6.47,4.0,4730.844654450585
0.34,Very Good,F,VS1,61.1,57.0,4.51,4.54,2.76,580.6270640297253
1.01,Very Good,F,SI2,62.4,58.0,6.37,6.41,3.99,5816.524480869844
0.87,Ideal,F,VS1,62.0,55.0,6.1,6.13,3.79,4504.312361152782
1.26,Premium,D,SI2,61.9,58.0,6.88,6.81,4.24,8177.299564725319
0.38,Premium,E,VS1,60.2,58.0,4.66,4.71,2.82,879.2606841439338
0.55,Ideal,F,VVS2,62.3,54.0,5.29,5.27,3.29,1769.9012485177163
0.65,Premium,G,SI1,61.9,58.0,5.54,5.51,3.42,2602.280379655313
0.41,Premium,D,VVS2,62.2,58.0,4.8,4.78,2.98,952.605026608398
0.7,Very Good,I,I1,63.2,59.0,5.62,5.59,3.54,2055.560408137322
1.03,Very Good,I,VS1,62.9,53.0,6.45,6.5,4.07,4689.999652833938
0.34,Ideal,F,VVS2,61.3,56.0,4.52,4.56,2.78,530.7136822255698
0.73,Ideal,I,VVS1,61.7,53.0,5.8,5.84,3.59,2494.009386986897
0.83,Ideal,D,SI2,62.1,56.0,6.0,6.04,3.74,4413.476418648921
0.51,Very Good,G,SI1,63.0,53.0,5.1,5.13,3.22,1761.103583923558
1.06,Ideal,E,VS2,61.3,57.0,6.54,6.57,4.02,6199.76477638943
0.41,Ideal,D,VS1,61.8,57.0,4.75,4.8,2.95,1245.165930463942
1.03,Ideal,F,VS2,60.4,56.0,6.59,6.56,3.97,5945.523008197752
0.32,Ideal,D,SI1,61.3,55.0,4.41,4.46,2.72,714.5805517822096
0.3,Premium,J,VS1,62.6,58.0,4.32,4.27,2.69,-160.05606040035127
0.32,Very Good,D,VVS2,60.1,58.0,4.41,4.44,2.66,752.9543662427272
0.33,Ideal,G,VS1,61.7,56.0,4.44,4.47,2.75,561.4083001055774
0.25,Ideal,G,VS1,62.7,54.0,4.05,4.08,2.55,99.44861807618145
0.3,Ideal,F,VS1,61.0,56.0,4.37,4.35,2.66,355.30003479482184
1.26,Very Good,F,IF,60.0,60.0,7.04,7.09,4.24,8197.775562005103
1.14,Ideal,J,VS1,61.6,56.0,6.71,6.73,4.14,4873.240752901496
1.51,Premium,H,SI1,62.8,60.0,7.22,7.14,4.51,9148.747412463323
0.51,Very Good,E,SI2,62.0,57.0,5.09,5.13,3.17,1728.8121372696824
0.32,Ideal,G,IF,61.0,57.0,4.44,4.48,2.72,515.5918136823334
0.94,Premium,E,SI2,60.4,59.0,6.37,6.34,3.84,4910.063967767362
0.51,Premium,E,VS2,60.6,58.0,5.15,5.12,3.11,1606.2961596251553
1.12,Ideal,H,SI2,61.4,56.0,6.69,6.66,4.1,5731.483876410822
1.33,Premium,G,SI2,60.3,58.0,7.19,7.16,4.33,8514.973869015397
0.32,Premium,H,VS2,61.7,59.0,4.35,4.4,2.7,458.7334532887321
0.7,Ideal,E,VS2,62.6,57.0,5.63,5.68,3.54,3180.220553359779
1.35,Ideal,H,VVS1,61.9,57.0,7.06,7.09,4.38,7659.63926928871
0.23,Good,F,VS2,63.8,57.0,3.93,3.84,2.48,146.0092364900329
0.9,Very Good,F,I1,61.9,59.0,6.16,6.18,3.82,4810.788031154849
1.03,Ideal,D,SI1,61.3,56.0,6.48,6.54,3.99,6288.834336901219
1.02,Good,E,SI2,62.8,64.0,6.36,6.32,3.98,6023.968045152476
0.55,Ideal,H,VVS2,61.7,57.0,5.28,5.26,3.25,1570.9548966548482
0.34,Ideal,E,IF,61.7,56.0,4.46,4.48,2.76,751.4372386177492
0.71,Premium,D,VVS2,60.0,58.0,5.92,5.84,3.53,2906.0230814876445
0.55,Good,G,SI1,63.6,61.0,5.22,5.16,3.3,1642.0557924659895
0.54,Ideal,G,VS2,61.5,55.0,5.24,5.27,3.23,1991.7195788454535
1.23,Ideal,H,IF,61.3,57.0,6.87,6.92,4.23,6661.183920402049
0.27,Premium,E,VVS1,60.6,58.0,4.18,4.2,2.54,400.71187481835204
0.53,Ideal,D,VS2,61.4,56.0,5.18,5.21,3.19,2020.0415260490804
1.25,Ideal,G,SI2,61.1,55.0,6.95,6.99,4.26,8158.814523405994
0.34,Ideal,E,VVS2,62.3,57.0,4.48,4.44,2.78,702.0994154371538
0.36,Premium,I,VS2,62.7,59.0,4.54,4.58,2.86,573.1320953880413
0.34,Ideal,G,SI1,61.2,57.0,4.56,4.53,2.78,272.71864318114103
1.12,Good,E,SI1,64.3,57.0,6.56,6.5,4.2,6960.231282128891
0.3,Ideal,H,VS1,61.6,55.0,4.27,4.3,2.64,374.38779935169214
0.36,Ideal,D,SI1,62.0,56.0,4.61,4.55,2.84,561.3540460571703
0.71,Ideal,F,VVS1,61.1,54.0,5.78,5.84,3.55,3029.76025513217
0.32,Premium,G,VS2,62.6,60.0,4.33,4.36,2.72,557.3582407137278
0.5,Premium,E,VS2,61.3,60.0,5.11,5.07,3.12,1549.2985586976738
0.51,Very Good,E,SI1,63.3,59.0,5.09,5.05,3.21,1717.3564754526378
0.58,Ideal,J,VS1,61.9,58.0,5.31,5.35,3.3,1368.9357631193052
0.3,Ideal,F,IF,62.5,54.0,4.31,4.33,2.7,325.04302612344964
0.39,Ideal,G,VVS1,62.3,57.0,4.7,4.64,2.91,499.2406366919149
0.31,Ideal,F,VS2,61.8,56.0,4.37,4.33,2.69,439.8912994073089
0.9,Very Good,H,VS1,60.5,63.0,6.13,6.16,3.72,4210.651832408196
0.81,Premium,G,SI2,61.7,57.0,5.99,5.94,3.68,3811.610811460172
0.7,Premium,E,SI2,61.1,61.0,5.74,5.69,3.49,2948.544754520469
0.38,Very Good,J,VS2,60.5,60.0,4.64,4.68,2.82,627.9324758940311
0.71,Very Good,G,SI1,60.0,59.0,5.76,5.8,3.47,3420.0937788536903
0.71,Very Good,D,VS2,63.1,58.0,5.67,5.7,3.59,3327.030435447101
0.9,Very Good,H,VS1,62.1,59.0,6.09,6.14,3.8,4142.577169991921
0.74,Very Good,F,SI2,63.2,58.0,5.75,5.71,3.62,3357.2499214400505
