carat,cut,color,clarity,depth,table,x,y,z,price_predicted
0.91,Very Good,H,SI2,63.4,57.0,6.1,6.18,3.89,7283.548117906435
0.38,Good,F,VS2,60.3,61.0,4.68,4.71,2.83,1400.8858588125772
0.52,Ideal,H,VS2,61.8,56.0,5.19,5.16,3.2,2840.233659221568
1.1,Ideal,G,VS1,61.3,56.0,6.65,6.69,4.09,9627.884725573378
2.28,Ideal,G,SI2,61.6,57.0,8.44,8.37,5.18,25062.983453672947
2.01,Very Good,J,VS2,60.8,58.0,8.08,8.16,4.94,21397.59006802021
1.06,Ideal,G,SI2,62.2,57.0,6.51,6.49,4.04,9209.315759137613
0.7,Premium,E,SI1,60.1,58.0,5.81,5.83,3.5,4813.942613482938
0.73,Premium,I,VS2,59.7,59.0,5.94,5.81,3.51,5300.756223524422
0.73,Ideal,H,IF,61.6,55.0,5.8,5.82,3.58,5170.620057440326
1.0,Good,D,VS2,64.1,58.0,6.24,6.33,4.03,8378.205184253498
0.33,Ideal,G,VVS2,60.1,57.0,4.48,4.51,2.7,910.0202316510863
0.54,Ideal,J,VVS2,61.6,57.0,5.25,5.23,3.23,3064.347537669427
0.33,Ideal,D,VS2,61.9,53.0,4.49,4.46,2.77,870.4139643718261
0.51,Fair,D,VS2,64.4,54.0,5.06,5.03,3.25,2697.9286896407366
0.51,Ideal,E,SI1,62.4,55.0,5.09,5.14,3.19,2690.2995006234037
0.3,Good,I,SI1,63.2,55.0,4.25,4.29,2.7,571.1002697280887
2.66,Good,H,SI2,64.3,60.0,8.71,8.65,5.58,30092.737431248814
0.92,Premium,F,SI1,61.8,59.0,6.21,6.25,3.85,7455.511877947229
0.3,Ideal,G,IF,62.2,55.0,4.3,4.32,2.68,585.3675552559206
1.0,Very Good,H,SI1,62.0,54.0,6.43,6.47,4.0,8358.2625413146
0.34,Very Good,F,VS1,61.1,57.0,4.51,4.54,2.76,973.4362777150682
1.01,Very Good,F,SI2,62.4,58.0,6.37,6.41,3.99,8548.101321683454
0.87,Ideal,F,VS1,62.0,55.0,6.1,6.13,3.79,6846.07811413909
1.26,Premium,D,SI2,61.9,58.0,6.88,6.81,4.24,11799.19724600399
0.38,Premium,E,VS1,60.2,58.0,4.66,4.71,2.82,1406.780704207197
0.55,Ideal,F,VVS2,62.3,54.0,5.29,5.27,3.29,3122.8024735988793
0.65,Premium,G,SI1,61.9,58.0,5.54,5.51,3.42,4338.668643344232
0.41,Premium,D,VVS2,62.2,58.0,4.8,4.78,2.98,1650.569116218111
0.7,Very Good,I,I1,63.2,59.0,5.62,5.59,3.54,4900.749412562105
1.03,Very Good,I,VS1,62.9,53.0,6.45,6.5,4.07,8703.883877652184
0.34,Ideal,F,VVS2,61.3,56.0,4.52,4.56,2.78,937.2569290382808
0.73,Ideal,I,VVS1,61.7,53.0,5.8,5.84,3.59,5143.229041681856
0.83,Ideal,D,SI2,62.1,56.0,6.0,6.04,3.74,6352.682523557608
0.51,Very Good,G,SI1,63.0,53.0,5.1,5.13,3.22,2666.0021244792865
1.06,Ideal,E,VS2,61.3,57.0,6.54,6.57,4.02,9178.52308132691
0.41,Ideal,D,VS1,61.8,57.0,4.75,4.8,2.95,1655.4379446092094
1.03,Ideal,F,VS2,60.4,56.0,6.59,6.56,3.97,8814.083321454724
0.32,Ideal,D,SI1,61.3,55.0,4.41,4.46,2.72,757.2848672726587
0.3,Premium,J,VS1,62.6,58.0,4.32,4.27,2.69,618.7456981524439
0.32,Very Good,D,VVS2,60.1,58.0,4.41,4.44,2.66,843.0849852411994
0.33,Ideal,G,VS1,61.7,56.0,4.44,4.47,2.75,871.4555699791385
0.25,Ideal,G,VS1,62.7,54.0,4.05,4.08,2.55,111.45288110885463
0.3,Ideal,F,VS1,61.0,56.0,4.37,4.35,2.66,605.4218158311475
1.26,Very Good,F,IF,60.0,60.0,7.04,7.09,4.24,11625.564311952761
1.14,Ideal,J,VS1,61.6,56.0,6.71,6.73,4.14,10148.979354351206
1.51,Premium,H,SI1,62.8,60.0,7.22,7.14,4.51,15032.722425145235
0.51,Very Good,E,SI2,62.0,57.0,5.09,5.13,3.17,2721.5177391656603
0.32,Ideal,G,IF,61.0,57.0,4.44,4.48,2.72,750.2561345272944
0.94,Premium,E,SI2,60.4,59.0,6.37,6.34,3.84,7739.578718083665
0.51,Premium,E,VS2,60.6,58.0,5.15,5.12,3.11,2816.824184618158
1.12,Ideal,H,SI2,61.4,56.0,6.69,6.66,4.1,9948.121246440152
1.33,Premium,G,SI2,60.3,58.0,7.19,7.16,4.33,12547.580151060105
0.32,Premium,H,VS2,61.7,59.0,4.35,4.4,2.7,810.4151689638702
0.7,Ideal,E,VS2,62.6,57.0,5.63,5.68,3.54,4832.951521161748
1.35,Ideal,H,VVS1,61.9,57.0,7.06,7.09,4.38,12803.318492888877
0.23,Good,F,VS2,63.8,57.0,3.93,3.84,2.48,50.233519476746324
0.9,Very Good,F,I1,61.9,59.0,6.16,6.18,3.82,7234.291487023063
1.03,Ideal,D,SI1,61.3,56.0,6.48,6.54,3.99,8774.600513126477
1.02,Good,E,SI2,62.8,64.0,6.36,6.32,3.98,8775.971332645482
0.55,Ideal,H,VVS2,61.7,57.0,5.28,5.26,3.25,3174.490865501467
0.34,Ideal,E,IF,61.7,56.0,4.46,4.48,2.76,1006.0964260459486
0.71,Premium,D,VVS2,60.0,58.0,5.92,5.84,3.53,4951.261216378997
0.55,Good,G,SI1,63.6,61.0,5.22,5.16,3.3,3177.266814731491
0.54,Ideal,G,VS2,61.5,55.0,5.24,5.27,3.23,3030.035659512817
1.23,Ideal,H,IF,61.3,57.0,6.87,6.92,4.23,11276.414107322822
0.27,Premium,E,VVS1,60.6,58.0,4.18,4.2,2.54,363.27546569951414
0.53,Ideal,D,VS2,61.4,56.0,5.18,5.21,3.19,2958.1393029684
1.25,Ideal,G,SI2,61.1,55.0,6.95,6.99,4.26,11506.31496081808
0.34,Ideal,E,VVS2,62.3,57.0,4.48,4.44,2.78,1019.9381508422289
0.36,Premium,I,VS2,62.7,59.0,4.54,4.58,2.86,1130.66074347242
0.34,Ideal,G,SI1,61.2,57.0,4.56,4.53,2.78,972.3946721077555
1.12,Good,E,SI1,64.3,57.0,6.56,6.5,4.2,9919.361266743592
0.3,Ideal,H,VS1,61.6,55.0,4.27,4.3,2.64,639.123569769341
0.36,Ideal,D,SI1,62.0,56.0,4.61,4.55,2.84,1197.8425899970166
0.71,Ideal,F,VVS1,61.1,54.0,5.78,5.84,3.55,4887.3887501632025
0.32,Premium,G,VS2,62.6,60.0,4.33,4.36,2.72,812.6829436653594
0.5,Premium,E,VS2,61.3,60.0,5.11,5.07,3.12,2684.451103252839
0.51,Very Good,E,SI1,63.3,59.0,5.09,5.05,3.21,2737.627238663429
0.58,Ideal,J,VS1,61.9,58.0,5.31,5.35,3.3,3499.2417442974047
0.3,Ideal,F,IF,62.5,54.0,4.31,4.33,2.7,557.0428042373615
0.39,Ideal,G,VVS1,62.3,57.0,4.7,4.64,2.91,1516.5907530511145
0.31,Ideal,F,VS2,61.8,56.0,4.37,4.33,2.69,734.4758489412199
0.9,Very Good,H,VS1,60.5,63.0,6.13,6.16,3.72,7358.138424188569
0.81,Premium,G,SI2,61.7,57.0,5.99,5.94,3.68,6201.645337028964
0.7,Premium,E,SI2,61.1,61.0,5.74,5.69,3.49,4915.334388474263
0.38,Very Good,J,VS2,60.5,60.0,4.64,4.68,2.82,1424.5575221344864
0.71,Very Good,G,SI1,60.0,59.0,5.76,5.8,3.47,5006.474729284834
0.71,Very Good,D,VS2,63.1,58.0,5.67,5.7,3.59,4918.797472849667
0.9,Very Good,H,VS1,62.1,59.0,6.09,6.14,3.8,7268.819105874123
0.74,Very Good,F,SI2,63.2,58.0,5.75,5.71,3.62,5344.216211413954
1.5,Premium,H,VS2,62.4,59.0,7.32,7.29,4.56,14737.03893417906
1.5,Very Good,F,SI1,63.0,55.0,7.27,7.31,4.59,14671.816839918072
0.42,Ideal,F,VS1,61.0,57.0,4.87,4.84,2.96,1795.4498829383112
1.01,Premium,G,VS2,61.6,58.0,6.45,6.4,3.96,8614.149280857308
2.48,Premium,I,SI2,63.0,62.0,8.62,8.58,5.42,27637.56197006153
1.02,Ideal,F,VVS2,61.1,56.3,6.48,6.52,3.97,8665.283050207305
0.4,Ideal,D,VS2,61.3,57.0,4.77,4.75,2.92,1587.1530701541315
0.7,Ideal,F,SI1,61.3,57.0,5.76,5.79,3.54,4784.166284729306
1.01,Good,E,VS2,62.5,58.0,6.32,6.36,3.96,8607.95233368215
1.13,Very Good,I,VS2,60.7,58.0,6.72,6.75,4.09,10046.18244964886
1.09,Ideal,I,VS2,61.9,56.0,6.62,6.67,4.09,9486.523159199081
0.7,Very Good,E,VS2,62.7,58.0,5.65,5.67,3.55,4834.911273425357
1.0,Premium,F,SI1,60.8,59.0,6.44,6.38,3.9,8548.665612182494
1.52,Ideal,H,VS2,61.8,54.0,7.42,7.43,4.59,14917.74457911411
0.41,Ideal,G,VVS2,62.2,56.0,4.75,4.8,2.97,1632.074303725181
0.43,Very Good,J,VS2,60.9,59.0,4.86,4.9,2.97,1882.137288142887
0.31,Very Good,E,SI2,60.8,61.0,4.39,4.43,2.68,673.3986678483474
0.33,Ideal,G,VS2,62.2,56.0,4.47,4.44,2.77,880.3361846408864
0.7,Premium,E,VS2,61.0,59.0,5.74,5.7,3.49,4907.479790816034
0.33,Ideal,G,VVS2,62.5,54.0,4.41,4.45,2.77,855.1206618404733
1.16,Premium,H,SI2,62.6,57.0,6.75,6.67,4.2,10434.370565982596
0.51,Ideal,E,VS2,61.8,57.0,5.15,5.14,3.18,2719.3422462076032
1.13,Good,G,I1,63.4,58.0,6.58,6.61,4.18,10010.501607554163
0.52,Premium,E,VS2,62.5,60.0,5.1,5.14,3.2,2829.9014668247455
0.23,Very Good,F,VVS2,61.4,56.0,3.94,3.97,2.43,9.426339653546847
0.5,Fair,F,SI1,64.7,60.0,4.99,4.84,3.18,2760.2940764556324
1.08,Very Good,D,VS1,60.5,58.0,6.53,6.63,3.98,9472.009887861215
0.3,Premium,G,VS1,62.2,59.0,4.31,4.28,2.67,631.3612538545453
0.48,Ideal,J,VS1,62.2,54.0,5.01,5.06,3.13,2354.9084069927612
1.51,Ideal,J,VS1,61.6,58.0,7.35,7.43,4.55,14795.827149096625
1.03,Premium,F,SI2,62.4,59.0,6.45,6.38,4.0,8879.911792645022
0.31,Very Good,G,VVS2,63.4,59.0,4.29,4.26,2.71,742.9464914752091
0.4,Ideal,G,IF,62.3,55.0,4.74,4.76,2.96,1523.8907281567538
1.03,Ideal,E,VS2,61.7,56.0,6.45,6.54,4.01,8742.556409671355
1.16,Premium,J,SI1,62.5,58.0,6.73,6.67,4.19,10440.265411377215
1.04,Very Good,J,SI2,62.8,57.0,6.44,6.5,4.06,8861.06250969016
0.71,Premium,E,VS2,61.5,60.0,5.76,5.68,3.52,5042.320798973503
0.29,Very Good,H,VVS2,61.2,56.0,4.26,4.29,2.61,530.7398421102572
1.09,Ideal,G,SI2,61.2,57.0,6.68,6.63,4.07,9558.666115858208
0.74,Ideal,F,VS1,62.3,56.0,5.76,5.79,3.6,5307.636558555853
0.42,Ideal,D,VS2,62.4,55.0,4.82,4.8,3.0,1765.6735541846792
0.54,Ideal,I,SI1,62.0,55.0,5.21,5.25,3.24,3025.3825718161665
0.51,Ideal,E,VS2,62.6,55.0,5.08,5.11,3.19,2710.96980607439
1.01,Premium,F,SI2,58.8,61.0,6.53,6.46,3.82,8753.71508128572
1.0,Premium,H,VS2,59.4,61.0,6.51,6.46,3.85,8564.492345792623
1.02,Premium,H,VS2,61.0,60.0,6.5,6.46,3.95,8741.561252088097
0.73,Good,E,VS1,60.8,61.0,5.77,5.8,3.52,5247.739712837776
1.01,Premium,H,SI2,60.3,59.0,6.51,6.45,3.91,8650.646319918422
0.33,Good,D,SI1,63.1,55.0,4.38,4.4,2.77,885.7131875605216
1.22,Ideal,F,VS1,62.3,57.0,6.79,6.83,4.24,11163.885466495623
0.31,Ideal,D,VS1,62.0,54.0,4.35,4.36,2.7,693.4432604771259
1.07,Premium,G,SI1,60.5,62.0,6.69,6.6,4.02,9346.751900327346
1.01,Very Good,E,VVS2,60.2,60.0,6.46,6.5,3.9,8608.58771445081
0.23,Very Good,F,IF,59.5,58.0,4.0,4.03,2.39,26.386960614419422
0.35,Very Good,D,VS1,60.9,58.0,4.54,4.56,2.77,1103.1160236473468
0.55,Ideal,F,VVS2,60.7,56.0,5.31,5.34,3.23,3143.698187690761
0.9,Ideal,G,SI1,61.9,59.0,6.16,6.19,3.82,7226.436889364835
0.72,Ideal,G,VVS1,62.2,57.0,5.72,5.75,3.57,5065.745862180701
0.83,Very Good,E,SI1,63.5,58.0,5.93,5.98,3.78,6332.828415073038
1.04,Ideal,H,SI1,61.9,57.0,6.49,6.46,4.01,8965.35744015163
0.71,Very Good,E,VS2,59.9,59.0,5.77,5.81,3.47,5001.513619150303
0.43,Ideal,F,SI1,61.3,56.0,4.9,4.86,2.99,1901.7659879865628
0.33,Ideal,E,VS2,61.3,55.0,4.46,4.48,2.74,881.0697678103181
1.72,Fair,D,SI2,64.6,58.0,7.53,7.46,4.84,17601.7696202429
1.13,Ideal,G,SI1,61.8,55.0,6.71,6.75,4.16,9961.516219031062
0.52,Ideal,D,SI1,62.4,56.0,5.12,5.17,3.21,2800.4428284554415
0.3,Very Good,G,VS1,62.5,55.0,4.25,4.32,2.68,570.9001176374321
1.53,Premium,G,VS1,61.0,60.0,7.43,7.4,4.52,15174.36490182625
2.02,Fair,H,SI2,56.5,61.0,8.33,8.37,4.72,21710.37105413383
0.33,Premium,H,VS1,61.0,59.0,4.5,4.45,2.73,927.8893313218086
0.7,Very Good,G,I1,61.5,63.0,5.73,5.65,3.5,4932.177471141465
1.26,Premium,I,SI1,60.5,62.0,6.97,6.92,4.2,11785.565341244815
0.3,Premium,D,VS2,62.5,59.0,4.28,4.23,2.66,673.6356000166076
0.59,Very Good,H,VS1,62.1,55.0,5.37,5.41,3.35,3559.456280399807
0.82,Ideal,E,SI1,62.1,55.0,5.98,6.0,3.72,6253.287280907495
0.39,Very Good,G,VVS2,60.7,61.0,4.7,4.73,2.86,1504.3084763371307
0.31,Ideal,H,IF,62.1,54.0,4.33,4.37,2.7,679.8016877715022
1.26,Ideal,I,SI2,62.0,56.0,7.0,6.94,4.32,11638.354763195282
1.51,Very Good,F,SI2,62.7,60.0,7.25,7.32,4.57,14829.929207216133
0.56,Ideal,G,VS1,60.6,56.0,5.33,5.36,3.24,3270.484446099342
0.31,Ideal,G,VVS1,62.5,55.0,4.34,4.33,2.71,702.4317454860986
0.56,Ideal,H,VVS2,60.9,57.0,5.38,5.33,3.26,3285.152035808487
0.96,Premium,E,SI2,58.2,58.0,6.52,6.47,3.78,8047.742782273561
0.52,Very Good,E,SI1,62.7,57.0,5.1,5.14,3.21,2818.219646382732
1.02,Very Good,H,SI1,63.5,55.0,6.31,6.35,4.02,8691.212820284256
1.06,Good,I,VS1,57.5,62.0,6.71,6.83,3.9,9163.674675420005
1.21,Ideal,H,SI1,62.1,59.0,6.81,6.75,4.21,11119.16438501523
2.02,Fair,H,VS2,64.5,57.0,8.0,7.95,5.14,21454.1426089328
1.52,Ideal,G,VS2,62.1,56.0,7.39,7.34,4.57,15003.119136351102
2.03,Very Good,I,SI2,62.8,59.0,8.04,8.08,5.06,21605.45165212639
0.28,Good,F,VVS2,61.2,62.0,4.16,4.21,2.56,474.6605512295205
0.7,Fair,G,VS1,65.8,61.0,5.61,5.46,3.64,4883.147490175232
0.7,Ideal,G,VVS1,62.3,57.0,5.61,5.65,3.51,4885.773800415079
2.32,Fair,H,I1,70.5,55.0,7.93,7.9,5.58,25410.870058699165
0.58,Ideal,J,VS2,60.9,57.0,5.38,5.4,3.28,3503.5868095561755
0.54,Ideal,D,VS1,61.6,54.0,5.24,5.25,3.23,3045.744854829273
1.2,Very Good,I,SI1,62.9,54.0,6.75,6.77,4.25,10890.97668366887
