,carat,cut,color,clarity,depth,table,x,y,z,price_predicted
7,0.7,Premium,E,SI1,60.1,58.0,5.81,5.83,3.5,2897.945472781424
15,0.51,Ideal,E,SI1,62.4,55.0,5.09,5.14,3.19,1657.2771541671257
25,0.38,Premium,E,VS1,60.2,58.0,4.66,4.71,2.82,846.2784257858932
35,1.06,Ideal,E,VS2,61.3,57.0,6.54,6.57,4.02,5762.576194333455
47,0.51,Very Good,E,SI2,62.0,57.0,5.09,5.13,3.17,1666.816165662396
49,0.94,Premium,E,SI2,60.4,59.0,6.37,6.34,3.84,4748.980753501594
50,0.51,Premium,E,VS2,60.6,58.0,5.15,5.12,3.11,1645.3291129927743
54,0.7,Ideal,E,VS2,62.6,57.0,5.63,5.68,3.54,3012.8477950888046
59,1.02,Good,E,SI2,62.8,64.0,6.36,6.32,3.98,5497.047757778861
61,0.34,Ideal,E,IF,61.7,56.0,4.46,4.48,2.76,612.4343351678408
66,0.27,Premium,E,VVS1,60.6,58.0,4.18,4.2,2.54,222.86233221222255
69,0.34,Ideal,E,VVS2,62.3,57.0,4.48,4.44,2.78,577.7805499279584
72,1.12,Good,E,SI1,64.3,57.0,6.56,6.5,4.2,6249.796131362581
77,0.5,Premium,E,VS2,61.3,60.0,5.11,5.07,3.12,1565.356378400208
78,0.51,Very Good,E,SI1,63.3,59.0,5.09,5.05,3.21,1632.8909461551484
85,0.7,Premium,E,SI2,61.1,61.0,5.74,5.69,3.49,2944.5903774334083
99,1.01,Good,E,VS2,62.5,58.0,6.32,6.36,3.96,5446.973096771742
102,0.7,Very Good,E,VS2,62.7,58.0,5.65,5.67,3.55,2988.1600343774044
107,0.31,Very Good,E,SI2,60.8,61.0,4.39,4.43,2.68,403.7659104993811
109,0.7,Premium,E,VS2,61.0,59.0,5.74,5.7,3.49,2946.075097085079
112,0.51,Ideal,E,VS2,61.8,57.0,5.15,5.14,3.18,1609.7154932818214
114,0.52,Premium,E,VS2,62.5,60.0,5.1,5.14,3.2,1745.3393225837845
124,1.03,Ideal,E,VS2,61.7,56.0,6.45,6.54,4.01,5535.9853254403
127,0.71,Premium,E,VS2,61.5,60.0,5.76,5.68,3.52,3011.2985073083255
133,0.51,Ideal,E,VS2,62.6,55.0,5.08,5.11,3.19,1661.6685829552425
137,0.73,Good,E,VS1,60.8,61.0,5.77,5.8,3.52,3225.108798851762
143,1.01,Very Good,E,VVS2,60.2,60.0,6.46,6.5,3.9,5376.992136932148
149,0.83,Very Good,E,SI1,63.5,58.0,5.93,5.98,3.78,3991.192061114115
151,0.71,Very Good,E,VS2,59.9,59.0,5.77,5.81,3.47,3049.313602904269
153,0.33,Ideal,E,VS2,61.3,55.0,4.46,4.48,2.74,521.0384445815234
165,0.82,Ideal,E,SI1,62.1,55.0,5.98,6.0,3.72,3880.585133409374
