carat,cut,color,clarity,depth,table,x,y,z,price_predicted
0.91,Very Good,H,SI2,63.4,57.0,6.1,6.18,3.89,4780.058598199003
0.38,Good,F,VS2,60.3,61.0,4.68,4.71,2.83,657.2852813392092
0.52,Ideal,H,VS2,61.8,56.0,5.19,5.16,3.2,1781.0004235517727
1.1,Ideal,G,VS1,61.3,56.0,6.65,6.69,4.09,6456.595849719746
2.28,Ideal,G,SI2,61.6,57.0,8.44,8.37,5.18,17677.998079066565
2.01,Very Good,J,VS2,60.8,58.0,8.08,8.16,4.94,14406.41352493178
1.06,Ideal,G,SI2,62.2,57.0,6.51,6.49,4.04,6159.704055187678
0.7,Premium,E,SI1,60.1,58.0,5.81,5.83,3.5,2739.8976177397253
0.73,Premium,I,VS2,59.7,59.0,5.94,5.81,3.51,2903.595258899217
0.73,Ideal,H,IF,61.6,55.0,5.8,5.82,3.58,3350.3989864195705
1.0,Good,D,VS2,64.1,58.0,6.24,6.33,4.03,5166.587961534753
0.33,Ideal,G,VVS2,60.1,57.0,4.48,4.51,2.7,647.8386653840171
0.54,Ideal,J,VVS2,61.6,57.0,5.25,5.23,3.23,1933.8192555849312
0.33,Ideal,D,VS2,61.9,53.0,4.49,4.46,2.77,578.5938658750028
0.51,Fair,D,VS2,64.4,54.0,5.06,5.03,3.25,1096.760643397688
0.51,Ideal,E,SI1,62.4,55.0,5.09,5.14,3.19,1777.1839904197318
0.3,Good,I,SI1,63.2,55.0,4.25,4.29,2.7,349.3264990986322
2.66,Good,H,SI2,64.3,60.0,8.71,8.65,5.58,18858.50725714994
0.92,Premium,F,SI1,61.8,59.0,6.21,6.25,3.85,4563.387259795516
0.3,Ideal,G,IF,62.2,55.0,4.3,4.32,2.68,488.86278789391235
1.0,Very Good,H,SI1,62.0,54.0,6.43,6.47,4.0,5174.945424437879
0.34,Very Good,F,VS1,61.1,57.0,4.51,4.54,2.76,521.8466627150406
1.01,Very Good,F,SI2,62.4,58.0,6.37,6.41,3.99,5379.135190255397
0.87,Ideal,F,VS1,62.0,55.0,6.1,6.13,3.79,4534.140351047974
1.26,Premium,D,SI2,61.9,58.0,6.88,6.81,4.24,7347.920878812159
0.38,Premium,E,VS1,60.2,58.0,4.66,4.71,2.82,809.0257929608119
0.55,Ideal,F,VVS2,62.3,54.0,5.29,5.27,3.29,1964.9616507672924
