,carat,cut,color,clarity,depth,table,x,y,z,price_predicted
0,0.91,Very Good,H,SI2,63.4,57.0,6.1,6.18,3.89,4690.849910855637
1,0.38,Good,F,VS2,60.3,61.0,4.68,4.71,2.83,781.8501314349763
2,0.52,Ideal,H,VS2,61.8,56.0,5.19,5.16,3.2,1675.1077298784442
3,1.1,Ideal,G,VS1,61.3,56.0,6.65,6.69,4.09,6049.909847872342
4,2.28,Ideal,G,SI2,61.6,57.0,8.44,8.37,5.18,16169.235361494422
5,2.01,Very Good,J,VS2,60.8,58.0,8.08,8.16,4.94,13802.602252638313
6,1.06,Ideal,G,SI2,62.2,57.0,6.51,6.49,4.04,5788.79261659328
7,0.7,Premium,E,SI1,60.1,58.0,5.81,5.83,3.5,2860.4616261508427
8,0.73,Premium,I,VS2,59.7,59.0,5.94,5.81,3.51,3030.4836608185797
9,0.73,Ideal,H,IF,61.6,55.0,5.8,5.82,3.58,3175.052638051302
10,1.0,Good,D,VS2,64.1,58.0,6.24,6.33,4.03,5459.074902774426
11,0.33,Ideal,G,VVS2,60.1,57.0,4.48,4.51,2.7,481.2694811277072
12,0.54,Ideal,J,VVS2,61.6,57.0,5.25,5.23,3.23,1815.992701034598
13,0.33,Ideal,D,VS2,61.9,53.0,4.49,4.46,2.77,470.94312561108404
14,0.51,Fair,D,VS2,64.4,54.0,5.06,5.03,3.25,1707.9287994665976
15,0.51,Ideal,E,SI1,62.4,55.0,5.09,5.14,3.19,1676.949732916729
16,0.3,Good,I,SI1,63.2,55.0,4.25,4.29,2.7,414.51100162619855
17,2.66,Good,H,SI2,64.3,60.0,8.71,8.65,5.58,19744.44274340754
18,0.92,Premium,F,SI1,61.8,59.0,6.21,6.25,3.85,4678.681552300729
19,0.3,Ideal,G,IF,62.2,55.0,4.3,4.32,2.68,362.8792240430846
20,1.0,Very Good,H,SI1,62.0,54.0,6.43,6.47,4.0,5262.874147958589
21,0.34,Very Good,F,VS1,61.1,57.0,4.51,4.54,2.76,551.7119667057843
22,1.01,Very Good,F,SI2,62.4,58.0,6.37,6.41,3.99,5426.2538331862725
23,0.87,Ideal,F,VS1,62.0,55.0,6.1,6.13,3.79,4285.163702343853
24,1.26,Premium,D,SI2,61.9,58.0,6.88,6.81,4.24,7435.148505037144
25,0.38,Premium,E,VS1,60.2,58.0,4.66,4.71,2.82,802.5028424682226
26,0.55,Ideal,F,VVS2,62.3,54.0,5.29,5.27,3.29,1876.108831096052
27,0.65,Premium,G,SI1,61.9,58.0,5.54,5.51,3.42,2632.165464459934
28,0.41,Premium,D,VVS2,62.2,58.0,4.8,4.78,2.98,962.1985216193373
29,0.7,Very Good,I,I1,63.2,59.0,5.62,5.59,3.54,3056.662380966679
30,1.03,Very Good,I,VS1,62.9,53.0,6.45,6.5,4.07,5546.48609330918
31,0.34,Ideal,F,VVS2,61.3,56.0,4.52,4.56,2.78,541.3856111891621
32,0.73,Ideal,I,VVS1,61.7,53.0,5.8,5.84,3.59,3175.052638051302
33,0.83,Ideal,D,SI2,62.1,56.0,6.0,6.04,3.74,3982.741048998299
34,0.51,Very Good,G,SI1,63.0,53.0,5.1,5.13,3.22,1666.623377400106
35,1.06,Ideal,E,VS2,61.3,57.0,6.54,6.57,4.02,5757.813550043411
36,0.41,Ideal,D,VS1,61.8,57.0,4.75,4.8,2.95,1013.8302992024521
37,1.03,Ideal,F,VS2,60.4,56.0,6.59,6.56,3.97,5401.917116076458
38,0.32,Ideal,D,SI1,61.3,55.0,4.41,4.46,2.72,452.13241761612244
